feature_id,stratum
feat_sae_20260828_080834_39cc_05337,curated_E_hetero
feat_sae_20260828_080834_39cc_06202,curated_E_hetero
feat_sae_20260828_080834_39cc_12416,curated_E_hetero
feat_sae_20260828_080834_39cc_02899,curated_E_hetero
feat_sae_20260828_080834_39cc_11282,curated_E_hetero
feat_sae_20260828_080834_39cc_25800,curated_E_hetero
feat_sae_20260828_080834_39cc_20594,curated_E_hetero
feat_sae_20260828_080834_39cc_23912,curated_E_hetero
feat_sae_20260828_080834_39cc_16989,curated_E_hetero
feat_sae_20260828_080834_39cc_00979,curated_D_hetero
feat_sae_20260828_080834_39cc_05114,curated_E_mid
feat_sae_20260828_080834_39cc_09910,curated_E_hetero
feat_sae_20260828_080834_39cc_11319,curated_E_mid
feat_sae_20260828_080834_39cc_03886,curated_E_hetero
feat_sae_20260828_080834_39cc_17927,curated_E_hetero
feat_sae_20260828_080834_39cc_27951,curated_E_hetero
feat_sae_20260828_080834_39cc_14165,curated_D_hetero
feat_sae_20260828_080834_39cc_23219,curated_E_hetero
feat_sae_20260828_080834_39cc_13924,curated_E_hetero
feat_sae_20260828_080834_39cc_06389,curated_D_hetero
feat_sae_20260828_080834_39cc_13932,curated_E_hetero
feat_sae_20260828_080834_39cc_18578,curated_E_hetero
feat_sae_20260828_080834_39cc_16164,curated_E_homog
feat_sae_20260828_080834_39cc_14911,curated_E_hetero
feat_sae_20260828_080834_39cc_17331,curated_E_hetero
feat_sae_20260828_080834_39cc_16614,curated_D_hetero
feat_sae_20260828_080834_39cc_28706,reference
feat_sae_20260828_080834_39cc_08152,curated_E_hetero
feat_sae_20260828_080834_39cc_15533,curated_E_hetero
feat_sae_20260828_080834_39cc_22206,curated_E_hetero
feat_sae_20260828_080834_39cc_00470,curated_E_hetero
feat_sae_20260828_080834_39cc_10307,curated_E_hetero
feat_sae_20260828_080834_39cc_23755,curated_E_hetero
feat_sae_20260828_080834_39cc_30412,curated_E_hetero
feat_sae_20260828_080834_39cc_29459,curated_E_mid
feat_sae_20260828_080834_39cc_22255,curated_E_hetero
feat_sae_20260828_080834_39cc_20025,curated_E_hetero
feat_sae_20260828_080834_39cc_09174,curated_E_mid
feat_sae_20260828_080834_39cc_22372,curated_E_hetero
feat_sae_20260828_080834_39cc_12437,curated_D_hetero
feat_sae_20260828_080834_39cc_21737,curated_E_hetero
feat_sae_20260828_080834_39cc_05323,curated_E_hetero
feat_sae_20260828_080834_39cc_22633,curated_E_hetero
feat_sae_20260828_080834_39cc_29163,curated_E_hetero
feat_sae_20260828_080834_39cc_06991,reference
feat_sae_20260828_080834_39cc_23007,curated_D_hetero
feat_sae_20260828_080834_39cc_28469,curated_E_homog
feat_sae_20260828_080834_39cc_00023,curated_E_hetero
feat_sae_20260828_080834_39cc_27975,curated_E_mid
feat_sae_20260828_080834_39cc_12140,curated_D_hetero
feat_sae_20260828_080834_39cc_03766,curated_E_hetero
feat_sae_20260828_080834_39cc_23294,curated_E_hetero
feat_sae_20260828_080834_39cc_29095,curated_E_hetero
feat_sae_20260828_080834_39cc_22948,curated_E_mid
feat_sae_20260828_080834_39cc_21520,curated_E_hetero
feat_sae_20260828_080834_39cc_00052,curated_E_hetero
feat_sae_20260828_080834_39cc_08129,curated_E_hetero
feat_sae_20260828_080834_39cc_21282,curated_E_hetero
feat_sae_20260828_080834_39cc_13754,curated_E_mid
feat_sae_20260828_080834_39cc_29554,curated_E_hetero
feat_sae_20260828_080834_39cc_14750,curated_E_homog
feat_sae_20260828_080834_39cc_14630,curated_E_hetero
feat_sae_20260828_080834_39cc_09277,curated_E_hetero
feat_sae_20260828_080834_39cc_00782,curated_D_hetero
feat_sae_20260828_080834_39cc_25288,curated_E_hetero
feat_sae_20260828_080834_39cc_14758,curated_E_hetero
feat_sae_20260828_080834_39cc_04272,curated_E_hetero
feat_sae_20260828_080834_39cc_10104,curated_E_hetero
feat_sae_20260828_080834_39cc_13477,curated_E_hetero
feat_sae_20260828_080834_39cc_08909,curated_E_hetero
feat_sae_20260828_080834_39cc_19881,curated_E_hetero
feat_sae_20260828_080834_39cc_13167,curated_E_hetero
feat_sae_20260828_080834_39cc_06378,curated_E_mid
feat_sae_20260828_080834_39cc_19056,curated_D_hetero
feat_sae_20260828_080834_39cc_26794,curated_E_hetero
feat_sae_20260828_080834_39cc_05488,curated_E_mid
feat_sae_20260828_080834_39cc_00889,curated_E_hetero
feat_sae_20260828_080834_39cc_28153,curated_E_hetero
feat_sae_20260828_080834_39cc_20782,curated_E_hetero
feat_sae_20260828_080834_39cc_03395,curated_E_hetero
feat_sae_20260828_080834_39cc_07704,curated_E_hetero
feat_sae_20260828_080834_39cc_30439,curated_D_hetero
feat_sae_20260828_080834_39cc_01285,curated_E_hetero
feat_sae_20260828_080834_39cc_20773,curated_E_hetero
feat_sae_20260828_080834_39cc_24304,curated_E_homog
feat_sae_20260828_080834_39cc_13865,curated_E_mid
feat_sae_20260828_080834_39cc_06250,curated_E_hetero
feat_sae_20260828_080834_39cc_12179,curated_E_hetero
feat_sae_20260828_080834_39cc_27490,curated_E_homog
feat_sae_20260828_080834_39cc_02160,curated_E_mid
feat_sae_20260828_080834_39cc_22277,curated_E_homog
feat_sae_20260828_080834_39cc_03209,curated_E_hetero
feat_sae_20260828_080834_39cc_14864,curated_E_hetero
feat_sae_20260828_080834_39cc_08069,curated_E_homog
feat_sae_20260828_080834_39cc_00931,census_C
feat_sae_20260828_080834_39cc_19794,curated_E_hetero
feat_sae_20260828_080834_39cc_07280,curated_E_hetero
feat_sae_20260828_080834_39cc_16981,curated_E_hetero
feat_sae_20260828_080834_39cc_24141,curated_D_hetero
feat_sae_20260828_080834_39cc_22908,curated_E_hetero
feat_sae_20260828_080834_39cc_25005,curated_E_hetero
feat_sae_20260828_080834_39cc_20720,curated_E_hetero
feat_sae_20260828_080834_39cc_20574,curated_E_hetero
feat_sae_20260828_080834_39cc_06700,curated_E_mid
feat_sae_20260828_080834_39cc_09454,curated_E_mid
feat_sae_20260828_080834_39cc_25188,curated_E_hetero
feat_sae_20260828_080834_39cc_13254,curated_E_hetero
